_date,total_clones,unique_clones
2022-12-06,1,1
2022-12-07,2,1
2022-12-20,25,6
2022-12-24,1,1
2022-12-25,1,1
2023-01-01,2,2
2023-01-02,2,2
2023-01-03,5,3
2023-01-04,1,1
2023-01-06,1,1
2023-01-08,1,1
2023-01-09,3,3
2023-01-12,1,1
2023-01-15,1,1
2023-01-16,1,1
2023-01-18,1,1
2023-01-19,1,1
2023-01-22,1,1
2023-01-23,3,3
2023-01-25,1,1
2023-01-28,1,1
2023-01-29,1,1
2023-01-30,2,2
2023-02-01,2,2
2023-02-03,15,3
2023-02-05,3,3
2023-02-06,7,5
2023-02-07,1,1
2023-02-08,6,2
2023-02-09,2,1
2023-02-10,6,1
2023-02-12,15,4
2023-02-13,6,4
2023-02-14,2,1
2023-02-15,12,3
2023-02-16,10,5
2023-02-17,2,1
2023-02-18,5,3
2023-02-19,11,3
2023-02-20,4,3
2023-02-21,4,1
2023-02-22,2,1
2023-02-24,2,1
2023-02-25,4,2
2023-02-26,5,4
2023-02-27,2,2
2023-03-02,4,3
2023-03-03,1,1
2023-03-04,1,1
2023-03-05,1,1
2023-03-06,4,4
2023-03-07,1,1
2023-03-08,2,2
2023-03-09,1,1
2023-03-10,2,2
2023-03-12,3,2
2023-03-13,7,6
2023-03-14,2,1
2023-03-15,1,1
2023-03-16,1,1
2023-03-17,1,1
2023-03-18,1,1
2023-03-19,19,4
2023-03-20,5,5
2023-03-21,3,2
2023-03-22,1,1
2023-03-24,1,1
2023-03-25,1,1
2023-03-26,3,3
2023-03-27,2,2
2023-03-29,1,1
2023-03-30,1,1
2023-03-31,1,1
2023-04-02,1,1
2023-04-04,1,1
2023-04-07,1,1
2023-04-08,2,2
2023-04-09,1,1
2023-04-10,1,1
2023-04-11,1,1
2023-04-15,1,1
2023-04-16,1,1
2023-04-17,2,2
2023-04-19,1,1
2023-04-20,2,2
2023-04-23,1,1
2023-04-24,3,2
2023-04-28,1,1
2023-04-30,6,2
